timestamp_x,price_solana,market_cap_solana,total_volume_solana,timestamp_H,timestamp_y,price_bitcoin,market_cap_bitcoin,total_volume_bitcoin
2023-11-06 08:00:25.529,39.99799490855077,16860762787.79316,912113798.2996576,2023-11-06 08:00,2023-11-06 08:00:00.667,34914.514585205085,682745284109.5189,12410702437.366493
2023-11-06 09:00:13.059,39.9687882889274,16770695009.144749,910271575.721439,2023-11-06 09:00,2023-11-06 09:00:12.630,34920.62896551723,681932156915.5314,12311183360.044493
2023-11-06 10:00:07.658,40.26397074485015,16932064706.73217,935644495.529787,2023-11-06 10:00,2023-11-06 10:00:49.099,35073.04867938142,685359772407.948,12596084763.269228
2023-11-06 11:00:58.967,40.378199150244676,17009620673.307419,876387618.2960246,2023-11-06 11:00,2023-11-06 11:00:20.016,35181.98550127671,687353379527.625,12689083861.684301
2023-11-06 12:00:10.641,40.37837668067102,16971986065.185278,945637685.9779232,2023-11-06 12:00,2023-11-06 12:00:20.785,35223.49269149692,688039720230.288,10166314280.282227
2023-11-06 13:00:02.474,40.41209552905941,16970348932.787865,945430015.6608014,2023-11-06 13:00,2023-11-06 13:00:46.050,35180.95882145437,687221455349.0542,10624617392.762056
2023-11-06 14:00:07.911,40.13185855408939,16845934880.548973,945171474.2271974,2023-11-06 14:00,2023-11-06 14:00:03.884,34995.174003523825,682932365697.1943,11883199248.873648
2023-11-06 15:00:13.609,40.314339125683865,16917083101.93084,929321356.3667543,2023-11-06 15:00,2023-11-06 15:00:02.119,35181.47469852691,686092399117.1799,13633596055.185207
2023-11-06 16:00:43.425,40.29230838502911,17000105578.235205,931963029.2028652,2023-11-06 16:00,2023-11-06 16:00:43.393,35086.43117402505,685404019198.4801,13669098674.225754
2023-11-06 17:01:09.405,40.26136624469108,16907941442.412678,954200586.228878,2023-11-06 17:00,2023-11-06 17:00:16.600,34988.15480415682,682778600497.0331,13515284066.901257
2023-11-06 18:00:13.187,40.35470649705384,16934242775.29572,962696653.628987,2023-11-06 18:00,2023-11-06 18:00:13.954,34972.32689825672,683033519819.3885,11943318638.564857
2023-11-06 19:00:04.542,40.264197365906085,16914320822.372112,952808444.6830978,2023-11-06 19:00,2023-11-06 19:00:27.177,34986.43490159055,684039880342.7896,11777298702.56635
2023-11-06 20:00:29.438,40.49207138924232,16987126271.205448,954764688.8482933,2023-11-06 20:00,2023-11-06 20:00:17.392,35095.087136138674,684935395009.6677,12835377006.953234
2023-11-06 21:00:22.630,40.3377798189549,16931944409.169945,951174670.978768,2023-11-06 21:00,2023-11-06 21:00:39.495,34981.20656919353,683438261105.9678,12017504543.953316
2023-11-06 22:00:30.346,40.36951406278563,16941964337.03127,926122585.5557755,2023-11-06 22:00,2023-11-06 22:00:45.691,35017.227413515604,683811813189.5441,12409980780.045277
2023-11-06 23:00:12.865,41.113232041558895,17206749846.24765,972827247.8873948,2023-11-06 23:00,2023-11-06 23:00:09.008,35139.54799649783,685457795725.3057,12253492473.782639
2023-11-07 00:00:04.489,42.093540748889566,17633401515.616535,1060320191.9564207,2023-11-07 00:00,2023-11-07 00:00:13.939,35031.26888208706,683644463783.0627,12717348149.539808
2023-11-07 01:01:49.352,41.72023981256393,17589241765.496407,1126754350.6129029,2023-11-07 01:00,2023-11-07 01:01:52.889,34948.734370434264,682784043299.4563,12683402788.397358
2023-11-07 02:00:27.987,41.43998184508794,17438727468.552143,1152689427.5841446,2023-11-07 02:00,2023-11-07 02:00:47.728,34942.97127708621,682710655667.4258,11499466085.91242
2023-11-07 03:00:49.460,40.414917010146034,17195364072.18885,1139340155.0137918,2023-11-07 03:00,2023-11-07 03:00:14.629,34835.0409661397,681988465195.9814,12429577014.288376
2023-11-07 04:00:07.262,40.70312546200211,17100276077.473103,1152611354.2142417,2023-11-07 04:00,2023-11-07 04:00:14.970,34918.19716777349,682107573021.0442,11852940674.478775
2023-11-07 05:00:37.237,41.17922869444948,17335930346.703197,1132742130.7861423,2023-11-07 05:00,2023-11-07 05:00:48.539,34916.2411690047,682045269663.685,10356450694.435923
2023-11-07 06:00:00.463,41.19407883893694,17333138253.37053,1103203277.3856654,2023-11-07 06:00,2023-11-07 06:00:17.618,34903.80868159889,682119219650.4354,7928283908.0321865
2023-11-07 07:00:26.317,41.49299526237888,17426896059.70864,1098095478.5155797,2023-11-07 07:00,2023-11-07 07:00:22.964,34979.75241455464,683173059941.3593,11825427598.998995
2023-11-07 08:00:59.791,41.56915427357287,17473375154.74951,1091036004.123196,2023-11-07 08:00,2023-11-07 08:00:17.615,34938.793816647056,682439153344.9697,12067845021.52979
2023-11-07 09:00:54.903,41.38828669676511,17431138056.241627,1093690529.2105784,2023-11-07 09:00,2023-11-07 09:00:54.755,34913.62574747725,682572774407.9507,11508273606.84143
2023-11-07 10:01:00.085,41.09638151097502,17259105445.209198,1101186151.998757,2023-11-07 10:00,2023-11-07 10:00:24.063,34918.47857629734,681350019310.2594,10674869507.600777
2023-11-07 11:00:11.658,40.81058894041178,17156518036.520224,1121806308.6494665,2023-11-07 11:00,2023-11-07 11:00:33.677,34609.0931984649,676480143082.4343,13135436301.499989
2023-11-07 12:00:24.901,41.141306613056244,17318141654.554455,1149692993.0671353,2023-11-07 12:00,2023-11-07 12:00:29.081,34667.469083374264,677583434207.7052,13300895206.03141
2023-11-07 13:00:44.263,41.59250059931882,17496353535.939934,1184538958.2427359,2023-11-07 13:00,2023-11-07 13:00:49.430,34752.45902130414,678459968070.4863,13038289227.262236
2023-11-07 14:00:02.282,41.93061405256443,17665626807.711975,1244622859.2628314,2023-11-07 14:00,2023-11-07 14:00:01.496,34734.425411318465,679114310478.7141,11053602986.903198
2023-11-07 15:00:24.517,41.960345293823316,17654158361.623093,1239341113.9845712,2023-11-07 15:00,2023-11-07 15:00:19.102,34847.26694722102,679946871035.3158,11125615631.173883
2023-11-07 16:00:15.860,41.18394439949748,17269479293.511936,1288391216.512542,2023-11-07 16:00,2023-11-07 16:00:38.431,34721.122463454034,677876869558.5763,13000922751.080387
2023-11-07 17:00:57.474,41.5810788007786,17435267312.55127,1295772277.5688868,2023-11-07 17:00,2023-11-07 17:00:44.562,34684.57911291255,677591624956.461,12687884781.697624
2023-11-07 18:00:16.984,42.37670045740575,17727293672.009853,1386230525.2240443,2023-11-07 18:00,2023-11-07 18:00:17.159,34833.17130329105,679951116082.6445,11537501243.053509
2023-11-07 19:00:22.317,43.88741300156685,18505631965.29893,1625027859.0095286,2023-11-07 19:00,2023-11-07 19:00:21.893,35383.25429261403,691681752893.5221,12999495864.446583
2023-11-07 20:00:35.597,43.90109937767476,18461011922.43289,1698366398.3693314,2023-11-07 20:00,2023-11-07 20:00:41.158,35473.91887235456,692903292090.9408,14354907103.742352
2023-11-07 21:00:19.502,44.27402311539846,18544123403.25553,1801835758.5357597,2023-11-07 21:00,2023-11-07 21:00:17.996,35871.27410920022,698449939570.988,15947454674.753725
2023-05-11 23:00:03.358,20.193466092616713,7979297606.662886,430155264.9030761,2023-05-11 23:00,2023-05-11 23:00:06.959,26941.5988586914,521951571626.01886,16331735041.4061
2023-05-12 00:00:22.011,20.25440267119237,8015037356.982577,428549097.3925601,2023-05-12 00:00,2023-05-12 00:00:20.834,27024.76572929978,523414877659.3074,7754296234.077171
2023-05-12 01:00:18.171,20.235193375392466,7994776153.1532955,420674740.5687137,2023-05-12 01:00,2023-05-12 01:00:17.868,27048.410100426972,523467587853.2113,13369439189.257584
2023-05-12 02:01:14.373,20.14088614877947,7972332316.272518,416377040.45581645,2023-05-12 02:00,2023-05-12 02:00:17.026,26901.13395541254,521957991168.377,14470638603.814505
2023-05-12 03:01:20.666,20.051263196449195,7931638394.197795,418445552.4093612,2023-05-12 03:00,2023-05-12 03:00:50.019,26792.01962876647,519395433426.9556,16317324813.920815
2023-05-12 04:01:17.849,20.025617020325203,7919108946.464381,435502886.2361909,2023-05-12 04:00,2023-05-12 04:00:19.440,26611.007364864166,515580315679.61395,12818286552.188614
2023-05-12 05:00:25.712,20.161367412211675,7949302534.645459,423157180.22473544,2023-05-12 05:00,2023-05-12 05:00:33.042,26683.427171105322,516694473400.7395,18318848670.69001
2023-05-12 06:00:15.757,19.95990219682433,7921811583.905698,443588571.77804065,2023-05-12 06:00,2023-05-12 06:00:06.351,26548.728111725955,515383476637.4763,9656793955.935804
2023-05-12 07:00:40.188,20.054325127820842,7909737360.437533,435516749.41958463,2023-05-12 07:00,2023-05-12 07:00:06.267,26270.66933070932,508931152940.82855,10328538153.44034
2023-05-12 08:00:07.580,20.11776035470489,7950631763.591044,438796164.33379436,2023-05-12 08:00,2023-05-12 08:01:09.225,26323.45392114715,509440293478.4085,21208920372.242752
2023-05-12 09:00:52.131,20.123064577520328,7957356216.188532,431884606.751964,2023-05-12 09:00,2023-05-12 09:00:53.473,26281.710909796835,509109262130.254,15771737850.598969
2023-05-12 10:00:28.087,20.265194974907025,8005334970.146631,437229223.6771354,2023-05-12 10:00,2023-05-12 10:00:10.124,26377.59726501609,510909067636.3605,11129518039.19228
2023-05-12 11:00:33.614,20.242688864594037,8010819790.111589,441271610.32214767,2023-05-12 11:00,2023-05-12 11:00:12.993,26368.77557192828,511238957901.6518,20284325059.535603
2023-05-12 12:00:39.100,20.32256337021066,8025563293.975825,443680036.6071907,2023-05-12 12:00,2023-05-12 12:00:35.072,26392.00235441848,510579175959.356,21714380795.966255
2023-05-12 13:01:05.995,20.384137881082594,8079984279.827991,435808175.4856629,2023-05-12 13:00,2023-05-12 13:01:05.485,26420.871008155704,512460584867.563,20896000046.027073
2023-05-12 14:00:06.179,20.410251586175537,8055706676.818485,411081806.72983176,2023-05-12 14:00,2023-05-12 14:00:28.280,26459.427188552792,512102166054.2107,12559243445.51665
2023-05-12 15:00:08.780,20.437577510772574,8102836356.8560295,415506492.8579757,2023-05-12 15:00,2023-05-12 15:00:11.913,26446.55890951198,512879437780.5446,20053354742.60046
2023-05-12 16:00:05.037,20.299484359679298,8028171641.896777,395001957.7969313,2023-05-12 16:00,2023-05-12 16:00:05.231,26321.615138558114,509836062830.27264,14034312196.7879
2023-05-12 17:00:27.091,20.321226079084713,8035069815.960484,402792341.3283982,2023-05-12 17:00,2023-05-12 17:00:22.509,26293.174263869158,509327746849.1432,10773726087.941715
2023-05-12 18:00:47.956,20.392546549542637,8066044686.679089,365613772.60699135,2023-05-12 18:00,2023-05-12 18:01:26.223,26340.26807234271,510400012607.9637,19389022599.70854
2023-05-12 19:00:42.042,20.352671310864697,8064851184.265209,342562372.8348869,2023-05-12 19:00,2023-05-12 19:00:43.526,26322.062802244804,509999271256.6532,18803363444.599068
2023-05-12 20:00:33.516,20.496370131951828,8018587333.035066,371337751.32220775,2023-05-12 20:00,2023-05-12 20:00:14.587,26472.91678897939,506645948317.422,20137997283.33651
2023-05-12 21:00:03.755,20.54937794122196,8106950139.65409,374877836.9083689,2023-05-12 21:00,2023-05-12 21:00:24.572,26472.13331650875,511732768153.2886,20601849683.077187
2023-05-12 22:00:40.182,20.72903413572517,8195050479.294178,385072717.3485242,2023-05-12 22:00,2023-05-12 22:00:11.585,26768.162811295322,517934271015.70374,21256536286.36012
2023-05-12 23:01:10.300,20.721236432121064,8204767833.60835,414188345.4124753,2023-05-12 23:00,2023-05-12 23:01:09.309,26709.291511571937,517653257917.61633,17736830667.08326
2023-05-13 00:00:17.590,20.909216952016084,8274505085.732654,400396104.8545738,2023-05-13 00:00,2023-05-13 00:00:39.670,26795.214825574047,519123710036.6101,19646433210.49949
2023-05-13 01:00:38.834,20.879915977031494,8253741872.668026,428589334.54470587,2023-05-13 01:00,2023-05-13 01:00:42.116,26783.543099391994,518166201757.8184,21551608505.930733
2023-05-13 02:00:58.388,20.88417278926395,8259953717.901222,411562801.5197758,2023-05-13 02:00,2023-05-13 02:00:08.947,26872.68571593645,520732263280.0645,16142176627.58995
2023-05-13 03:00:30.624,20.91724489599581,8282092844.355331,414096506.6131685,2023-05-13 03:00,2023-05-13 03:00:37.842,26768.02573457912,519740082452.48376,21447750280.82044
2023-05-13 04:00:03.010,21.12877268652253,8355308223.13926,406700784.4171686,2023-05-13 04:00,2023-05-13 04:00:03.413,26835.67071981911,519866641799.6035,15058999387.528543
2023-05-13 05:00:09.627,21.067326015829956,8326986901.082309,414777550.1803644,2023-05-13 05:00,2023-05-13 05:01:26.368,26813.843950633232,519439672630.8774,19648967048.839314
2023-05-13 06:00:09.310,21.054926157438274,8330236643.76551,407278065.54953647,2023-05-13 06:00,2023-05-13 06:00:45.012,26780.92498446825,518738089201.48883,18766373681.88402
2023-05-13 07:00:36.927,21.060321610562195,8324246010.155283,398516948.997,2023-05-13 07:00,2023-05-13 07:00:06.216,26758.872186622208,518159960498.54474,17991202860.277794
2023-05-13 08:00:29.834,21.24971268080119,8397662797.909412,402627198.0749829,2023-05-13 08:00,2023-05-13 08:00:27.659,26801.271579609143,519080343478.37335,14944884779.745913
2023-05-13 09:00:52.331,21.176737769409844,8375615703.368503,399943920.9690496,2023-05-13 09:00,2023-05-13 09:00:50.602,26824.568335752407,519674241285.2068,15145794054.115746
2023-05-13 10:00:41.121,21.191938934846373,8374509038.003297,395446301.6268782,2023-05-13 10:00,2023-05-13 10:00:02.958,26839.55126469972,519822885641.5904,14768308271.326092
2023-05-13 11:00:34.318,21.18712009880853,8378211756.150455,390957173.748424,2023-05-13 11:00,2023-05-13 11:00:20.465,26843.9866398211,519515619726.7402,16598362374.333927
2023-05-13 12:00:05.966,21.094687976800255,8351289282.620583,408723686.6842627,2023-05-13 12:00,2023-05-13 12:00:02.695,26824.22733645203,519773620515.13605,15727821494.295723
2023-05-13 13:00:07.634,21.064950481292826,8340642653.732907,397718682.1160747,2023-05-13 13:00,2023-05-13 13:00:10.079,26850.63751965293,520457368080.31226,6979680536.30823
2023-05-13 14:00:18.685,20.900301916229992,8261541423.789985,378913780.3987811,2023-05-13 14:00,2023-05-13 14:00:27.438,26819.864062779605,519545791628.9409,15591315074.465122
2023-05-13 15:00:07.908,20.930569637703474,8273701796.167499,355521519.7678707,2023-05-13 15:00,2023-05-13 15:00:20.974,26839.320765816472,520210330904.6646,3721773927.4902563
2023-05-13 16:00:40.227,20.855590555420292,8251419330.137583,346199462.20435405,2023-05-13 16:00,2023-05-13 16:00:40.919,26815.90251592536,519291195292.5065,12315008901.008846
2023-05-13 17:01:04.087,20.89589714325604,8259963913.061459,326007795.6703538,2023-05-13 17:00,2023-05-13 17:00:07.675,26827.358072151015,519668230749.48944,6022353434.858509
2023-05-13 18:00:44.517,20.85798709857031,8253103806.032764,321339790.5447727,2023-05-13 18:00,2023-05-13 18:00:45.195,26838.296666394435,520024008400.76953,12102878040.158682
2023-05-13 19:00:45.081,21.0504567473255,8287177879.707705,344937700.63739586,2023-05-13 19:00,2023-05-13 19:00:45.203,26977.880020440487,522734053626.2226,8312372252.842848
2023-05-13 20:00:47.724,20.957112176710112,8269003781.063328,298711534.2619388,2023-05-13 20:00,2023-05-13 20:01:34.416,26855.158032841344,519462110394.5551,12596155815.992485
2023-05-13 21:00:46.742,20.9210871671106,8272144646.2894125,269954392.4129477,2023-05-13 21:00,2023-05-13 21:00:45.817,26879.330456226766,520697706635.08923,9488382791.618282
2023-05-13 22:01:38.638,20.932467170857187,8276321776.103751,256166731.1949476,2023-05-13 22:00,2023-05-13 22:01:11.975,26907.121778576846,521253353612.946,6670855532.160972
2023-05-13 23:01:10.393,20.921119028420232,8267055196.622218,240158827.90752947,2023-05-13 23:00,2023-05-13 23:01:07.488,26915.985429441324,520586397006.22156,10083013460.622509
2023-05-14 00:00:05.784,20.899582667518416,8297710532.113992,252119905.38455606,2023-05-14 00:00,2023-05-14 00:00:04.867,26795.534641795166,520426027097.3362,9701956140.566513
2023-05-14 01:00:10.056,20.755118013957436,8196943826.147379,242032881.99318454,2023-05-14 01:00,2023-05-14 01:00:45.708,26739.25357929068,517802209128.34106,9834975525.678017
2023-05-14 02:01:45.578,20.717689504860953,8179869234.045621,254303527.05905765,2023-05-14 02:00,2023-05-14 02:01:12.792,26727.578459668337,517234422319.7498,8875443351.956861
2023-05-14 03:00:56.039,20.833181634285086,8222529642.765101,262171811.97546223,2023-05-14 03:00,2023-05-14 03:01:02.938,26812.366701286275,519078947574.302,2715281048.8130774
2023-05-14 04:00:47.144,20.96298891859657,8292936003.456714,257883372.6088451,2023-05-14 04:00,2023-05-14 04:00:46.888,26843.847074868532,520103568452.4299,2698593117.1120253
2023-05-14 05:00:39.666,21.057740368210673,8332895276.108195,254115607.27703366,2023-05-14 05:00,2023-05-14 05:00:29.254,26827.99869804194,520097006965.62683,9490726490.12519
2023-05-14 06:00:38.605,21.047882688044837,8329050141.524156,253403687.14259714,2023-05-14 06:00,2023-05-14 06:00:44.077,26829.881296087104,520054171291.81006,8370124308.035859
2023-05-14 07:01:08.444,21.173657101999495,8373878996.040204,257840255.66233364,2023-05-14 07:00,2023-05-14 07:01:04.351,26881.672342490216,520730402573.1816,7531578386.946419
2023-05-14 08:00:27.211,21.12288767058301,8347954424.975719,264989143.36358476,2023-05-14 08:00,2023-05-14 08:00:26.050,26857.06429304013,520201876641.0186,8641927192.076303
2023-05-14 09:00:09.410,21.062813646770113,8337100944.373724,247633359.80903423,2023-05-14 09:00,2023-05-14 09:00:32.902,26858.78631614312,520358005907.74475,6112843025.757955
2023-05-14 10:00:35.154,21.084713063977116,8335771092.344966,242615792.58337483,2023-05-14 10:00,2023-05-14 10:01:14.344,26857.683233534324,520297784856.3056,5052177153.531313
2023-05-14 11:00:30.272,21.04930100860882,8316238076.042538,239520657.83957073,2023-05-14 11:00,2023-05-14 11:00:33.899,26849.982906217672,520160297711.1519,7810525130.331547
2023-05-14 12:01:23.254,20.962475726774073,8290637538.163983,235914318.0965215,2023-05-14 12:00,2023-05-14 12:00:28.998,26810.04085557205,519356565147.54767,8790277570.408344
2023-05-14 13:00:39.510,21.01636050042929,8308961059.034108,236057961.42101422,2023-05-14 13:00,2023-05-14 13:00:38.059,26835.729915285105,519599265457.9448,8666863050.396965
2023-05-14 14:00:43.427,21.087910842068037,8340690923.817497,228077361.5330904,2023-05-14 14:00,2023-05-14 14:00:32.175,26885.823355794415,520814582717.39716,8491447441.155282
2023-05-14 15:00:25.534,21.121650834888985,8334110298.5096035,230074368.2838318,2023-05-14 15:00,2023-05-14 15:00:31.114,26922.39298163071,520903974452.0035,8755521403.236605
2023-05-14 16:00:39.419,21.21814783628338,8389991401.800408,232336242.09599793,2023-05-14 16:00,2023-05-14 16:00:30.092,27114.880005382547,525406525707.31494,5587736432.802806
2023-05-14 17:01:26.586,21.01456318812331,8346356805.596488,232106146.7007622,2023-05-14 17:00,2023-05-14 17:00:34.152,27026.977431903437,523625273123.1559,5212524049.864198
2023-05-14 18:00:13.509,20.998082900660155,8304917852.680024,223146866.6078282,2023-05-14 18:00,2023-05-14 18:00:58.222,26946.422446412857,522211557005.1585,10104147029.957916
2023-05-14 19:00:27.209,20.965961651718406,8286587819.761645,216656778.40328756,2023-05-14 19:00,2023-05-14 19:00:32.145,26917.77931115237,521633799890.45197,6102186135.040498
2023-05-14 20:00:46.395,20.927961602456776,8276766853.921691,214882826.83693823,2023-05-14 20:00,2023-05-14 20:00:50.483,26877.747027746926,520986175534.9679,9831470183.797785
2023-05-14 21:00:51.593,20.94361603687264,8287023047.473984,214261860.2908453,2023-05-14 21:00,2023-05-14 21:00:51.151,26936.583065788534,521748867426.7509,6239762082.661723
2023-05-14 22:00:17.446,20.95297821436076,8283729143.841495,215326896.30954617,2023-05-14 22:00,2023-05-14 22:01:33.359,26912.295008804766,521452131290.66125,9825327644.61279
2023-05-14 23:00:25.907,20.982886529722162,8297952863.988065,214424932.2234664,2023-05-14 23:00,2023-05-14 23:00:36.292,26937.790218886006,521806668185.4888,7273181471.771817
2023-05-15 00:01:28.842,20.95748108985546,8280978190.929416,210847603.33755395,2023-05-15 00:00,2023-05-15 00:01:25.411,26933.27703128155,521319019334.69617,8623989166.102604
2023-05-15 01:00:58.982,20.67224559800073,8177721463.027639,216352959.7978945,2023-05-15 01:00,2023-05-15 01:01:01.908,26770.838791299,518549554028.2052,7711126703.868641
2023-05-15 02:00:40.876,21.121037976080636,8317665777.624115,221058202.800865,2023-05-15 02:00,2023-05-15 02:01:15.229,27220.190350321016,525294062720.62616,10503088099.008905
2023-05-15 03:00:40.641,21.184852400994455,8381647046.322559,223795031.04546893,2023-05-15 03:00,2023-05-15 03:00:10.135,27190.72662599178,526403787787.50073,8451531069.539296
2023-05-15 04:00:32.846,21.24041070432851,8407830059.678241,221444432.6341201,2023-05-15 04:00,2023-05-15 04:00:35.290,27236.85446634466,527742674188.5619,8021470706.901981
2023-05-15 05:00:04.300,21.207707023062753,8385217542.94615,229682754.7199381,2023-05-15 05:00,2023-05-15 05:00:38.393,27255.305251625305,527453418018.26984,11348679581.704271
2023-05-15 06:00:33.960,21.221755306973456,8390001889.135118,225098701.96151346,2023-05-15 06:00,2023-05-15 06:00:45.716,27328.598466365504,529530036280.7993,6052975883.841943
